timestamp,token_address,token_symbol,profit_percent,buy_pool,sell_pool,buy_price,sell_price,liquidity_usd,volume_24h
2025-06-25 04:37:56,FP2XnGpqP5opNZujB6KPpXYWSAwq7BbTUVUnRij1bonk,CryBB,2.87,meteora,meteora,0.000080,0.000083,10973,50904
2025-06-25 04:37:59,vRseBFqTy9QLmmo5qGiwo74AVpdqqMTnxPqWoWMpump,Verse,0.93,pumpswap,raydium,0.001166,0.001185,1078574,167803
2025-06-25 04:38:12,5mjbjHRb327yvcWUc5WPywhCbYi32pqUqxPUCtpipBLV,RUNNIT,8.62,orca,meteora,0.000008,0.000008,5950,81656
2025-06-25 04:38:24,3VvtXwhZWzFyPZVPt5ApAsdACJFNW4XVnMKMhWcSbonk,USEFUL,3.14,meteora,raydium,0.000001,0.000001,7740,86243
2025-06-25 04:38:27,6D6ccmg71x56V5Je1Mh82MFPYL38gaZqNc2LG1XMbonk,Patchy,8.41,raydium,meteora,0.000007,0.000007,13683,617725
2025-06-25 04:38:35,7Tx8qTXSakpfaSFjdztPGQ9n2uyT1eUkYz7gYxxopump,ASSDAQ,2.37,pumpswap,meteora,0.000009,0.000009,14857,195403
2025-06-25 04:38:36,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,USDUC,1.10,raydium,meteora,0.000100,0.000102,37480,134729
2025-06-25 04:38:41,ZEXy1pqteRu3n13kdyh4LwPQknkFk3GzmMYMuNadWPo,ZEX,1.33,raydium,meteora,0.202100,0.206200,20768,195957
2025-06-25 04:38:41,ZEXy1pqteRu3n13kdyh4LwPQknkFk3GzmMYMuNadWPo,ZEX,4.04,meteora,orca,0.001328,0.001391,41972,113482
2025-06-25 04:38:51,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin ,2.30,meteora,orca,0.007476,0.007700,65363,25491
2025-06-25 04:38:51,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin ,4.15,meteora,meteora,1.075380,1.127500,20161,266397
2025-06-25 04:38:52,2KK4YMi24Tqo6tDn8mzYWkNdGjG3ufdXBjmLv7Fapump,void,3.90,pumpswap,orca,0.000002,0.000002,3515,169202
2025-06-25 04:38:57,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,USELESS,6.16,meteora,meteora,0.140000,0.149600,1832,13248
